hex_id,soft_wheat_area_km2,hard_wheat_area_km2,corn_grain_area_km2,corn_silage_area_km2,barley_area_km2,rapeseed_area_km2,sunflower_area_km2,sugarbeet_area_km2,vineyards_area_km2
76,7.24268,0.124,2.946,6.288,2.3960000000000004,0.09,0.115,NA,0.003
76,7.24268,1.752,2.946,6.288,2.3960000000000004,0.09,0.115,NA,0.003
82,NA,NA,0.827,1.35,NA,NA,NA,NA,0.003
83,NA,NA,0.016,NA,0.006,NA,0.083,NA,NA
84,0.33345,NA,0.362,0.213,NA,0.006,NA,NA,NA
85,27.11964,0.349,10.527,40.893,1.646,1.221,2.47,0.002,0.001
86,35.58904,0.108,16.585,31.81,6.099,4.742,2.654,0.055,0.736
91,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,0.029,11.259,4.774,0.055,NA,0.092,0.002,0.01
93,0.02752,NA,2.34,NA,0.016,NA,0.186,NA,0.12
94,0.19344,0.018,NA,NA,0.053,NA,NA,NA,0.14
95,60.40272,1.993,20.501,46.144,4.698,7.907,5.386,NA,0.664
96,31.81243,0.258,14.974,50.089,4.938000000000001,3.717,1.741,NA,4.189
104,0.05965,NA,2.927,6.576,0.022,NA,0.052,NA,2.08
105,0.46903,0.033,55.267,1.71,0.354,0.517,5.028,0.001,0.055
106,NA,NA,1.768,NA,NA,0.03,0.112,NA,0.008
107,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,0.21485,NA,0.006,NA,0.212,0.09,NA,NA,0.338
110,33.62325,12.411,30.709,19.541,2.006,5.107,8.684,NA,0.155
111,59.74078,0.999,17.966,56.077000000000005,6.529999999999999,7.189,3.0549999999999997,0.002,0.669
112,8.51553,0.075,5.381,5.723,1.554,1.676,0.358,NA,4.498
119,NA,NA,0.655,2.49,NA,NA,NA,NA,0.031
120,2.10574,NA,52.939,11.846,1.52,2.313,2.919,NA,0.017
121,0.08685,NA,22.82,0.269,0.287,0.475,3.611,NA,NA
122,0.12204,NA,7.194,NA,NA,0.177,0.598,NA,NA
123,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,0.058,NA,NA,NA,NA,NA,NA
125,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,0.98066,0.013,NA,NA,1.264,0.611,NA,NA,5.761
127,0.73059,17.202,6.214,0.581,0.666,NA,2.558,NA,2.541
128,49.27349,1.262,22.73,37.689,3.611,6.499,3.545,0.007,0.498
129,66.30133000000001,0.109,17.557000000000002,47.094,8.805,7.351,5.45,NA,7.101
137,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,1.17493,0.019,26.507,6.967,0.289,0.378,1.241,NA,0.041
139,3.16068,0.1,122.334,1.18,0.305,2.289,7.788,NA,0.604
140,0.1528,NA,17.241,NA,NA,0.012,1.007,NA,0.001
141,NA,NA,11.986,0.14,0.234,0.01,0.017,NA,NA
142,0.07436,NA,0.586,0.113,NA,0.115,NA,NA,NA
143,NA,NA,6.676,NA,0.338,NA,0.207,NA,NA
144,NA,NA,NA,NA,NA,NA,NA,NA,0.429
145,4.21904,2.491,4.832,0.449,2.267,0.359,2.925,NA,0.833
146,5.87965,0.457,3.034,NA,1.754,1.671,0.287,NA,1.519
147,27.55554,56.67,47.088,17.456,2.365,12.615,10.477,0.184,3.428
